street_type,abbreviation
Access,ACCS
Alley,ALLY
Alleyway,ALWY
Amble,AMBL
Approach,APP
Arcade,ARC
Arterial,ARTL
Artery,ARTY
Avenue,AV
Banan,BA
Bend,BEND
Boardwalk,BWLK
Boulevard,BVD
Brace,BR
Brae,BRAE
Break,BRK
Brow,BROW
Bypass,BYPA
Byway,BYWY
Causeway,CSWY
Centre,CTR
Chase,CH
Circle,CIR
Circuit,CCT
Circus,CRCS
Close,CL
Concourse,CON
Copse,CPS
Corner,CNR
Court,CT
Courtyard,CTYD
Cove,COVE
Crescent,CR
Crest,CRST
Cross,CRSS
Cul-de-sac,CSAC
Cutting,CUTT
Dale,DALE
Dip,DIP
Drive,DR
Driveway,DVWY
Edge,EDGE
Elbow,ELB
End,END
Entrance,ENT
Esplanade,ESP
Expressway,EXP
Fairway,FAWY
Follow,FOLW
Footway,FTWY
Formation,FORM
Freeway,FWY
Frontage,FRTG
Gap,GAP
Gardens,GDNS
Gate,GTE
Glade,GLDE
Glen,GLEN
Grange,GRA
Green,GRN
Grove,GR
Heights,HTS
Highroad,HIRD
Highway,HWY
Hill,HILL
Interchange,INTG
Junction,JNC
Key,KEY
Lane,LANE
Laneway,LNWY
Line,LINE
Link,LINK
Lookout,LKT
Loop,LOOP
Mall,MALL
Meander,MNDR
Mews,MEWS
Motorway,MTWY
Nook,NOOK
Outlook,OTLK
Parade,PDE
Parkway,PWY
Pass,PASS
Passage,PSGE
Path,PATH
Pathway,PWAY
Piazza,PIAZ
Plaza,PLZA
Pocket,PKT
Point,PNT
Port,PORT
Promenade,PROM
Quadrant,QDRT
Quays,QYS
Ramble,RMBL
Rest,REST
Retreat,RTT
Ridge,RDGE
Rise,RISE
Road,RD
Rotary,RTY
Route,RTE
Row,ROW
Rue,RUE
Serviceway,SVWY
Shunt,SHUN
Spur,SPUR
Square,SQ
Street,ST
Subway,SBWY
Tarn,TARN
Terrace,TCE
Thoroughfare,THFR
Tollway,TLWY
Top,TOP
Tor,TOR
Track,TRK
Trail,TRL
Turn,TURN
Underpass,UPAS
Vale,VALE
Viaduct,VIAD
View,VIEW
Vista,VSTA
Walk,WALK
Walkway,WKWY
Wharf,WHRF
Wynd,WYND
